OPER_DT,PVN,BOR,ADMD,AMT_IND,LCLS_10_P,LCLS_20_P,LCLS_30_P,LCLS_40_P,LCLS_50_P,LCLS_60_P,LCLS_70_P,LCLS_80_P
2019-02-01,대구광역시,수성구,고산1동,1.064335569,0.450847608,0.172220928,0.295458088,0.023262869,0.044679427,0.005074599,0.004819664,0.003636817
2019-02-01,대구광역시,수성구,고산2동,1.076417995,0.457936621,0.196273529,0.295563811,0.005521032,0.034055726,0.000843756,0.008892543,0.000912982
2019-02-01,대구광역시,수성구,고산3동,0.856071397,0.359977596,0.196602495,0.376761597,0.013407774,0.029606013,0.00911737,0.008830586,0.005696569
2019-02-01,대구광역시,수성구,두산동,0.724867788,0.281968691,0.175207369,0.363202139,0.024234682,0.134190992,0.0,0.021196128,0.0
2019-02-01,대구광역시,수성구,만촌1동,1.155728083,0.400983486,0.200454132,0.310531246,0.038868033,0.035426532,0.005283728,0.005733655,0.002719188
2019-02-01,대구광역시,수성구,만촌3동,0.91798141,0.39972542,0.229825911,0.283445448,0.022180498,0.038550586,0.00835798,0.013903104,0.004011054
2019-02-01,대구광역시,수성구,범물1동,0.755404315,0.36243954,0.181022303,0.35993591,0.027116408,0.054657056,0.007843279,0.005133425,0.001852079
2019-02-01,대구광역시,수성구,범물2동,1.049857825,0.247451499,0.177910589,0.263943465,0.259804658,0.042776761,0.00123439,0.005709054,0.001169585
2019-02-01,대구광역시,수성구,범어1동,1.078316538,0.315211839,0.167776507,0.391245999,0.016444799,0.092691278,0.001151737,0.012199897,0.003277943
2019-02-01,대구광역시,수성구,범어2동,1.06078579,0.427666444,0.195913805,0.270228255,0.024508314,0.067982614,0.0,0.010088485,0.003612084
2019-02-01,대구광역시,수성구,범어3동,0.962867168,0.308515471,0.216335853,0.326638171,0.017368242,0.090058312,0.00702865,0.003228319,0.030826984
2019-02-01,대구광역시,수성구,범어4동,1.058098886,0.441176561,0.212801087,0.274971737,0.015333515,0.038212331,0.001837164,0.010979436,0.00468817
2019-02-01,대구광역시,수성구,수성1가동,0.778787286,0.466819697,0.165892502,0.282370354,0.033959861,0.030526387,0.007740106,0.005672534,0.007018559
2019-02-01,대구광역시,수성구,수성2.3가동,1.305282119,0.312445394,0.262138276,0.353237811,0.002420043,0.038165533,0.0,0.024370044,0.007222899
2019-02-01,대구광역시,수성구,수성4가동,0.933675172,0.457688206,0.210295897,0.305046047,0.009885976,0.01540209,0.0,0.00063038,0.001051404
2019-02-01,대구광역시,수성구,중동,0.793326587,0.352311328,0.165820098,0.387388046,0.043280282,0.036139428,0.010935667,0.002516111,0.00160904
